,brand_and_model,km_driven,fuel_type,transmission,all_spec_1,all_spec_2,price
5191,2018 Honda WR-V VX i-VTEC,20K km, · Petrol, · Manual,"Mileage (ARAI)
16.5 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.5 bhp
VIEW ALL SPECIFICATIONS",,₹7.36 Lakh
5192,2014 Maruti Suzuki Ciaz ZXI,40K km, · Petrol, · Manual,,"Mileage (ARAI)
20.73 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91 bhp
VIEW ALL SPECIFICATIONS",₹5.40 Lakh
5193,2016 Honda Brio S MT,60K km, · Petrol, · Manual,,"Mileage (ARAI)
19.4 kmpl
Ground clearance
165 mm
Boot space
175 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
86.8 bhp
VIEW ALL SPECIFICATIONS",₹3.93 Lakh
5194,2015 Honda Amaze 1.2 VX i-VTEC,33K km, · Petrol, · Manual,,"Mileage (ARAI)
18.0 kmpl
Ground clearance
165 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
86.9 bhp
VIEW ALL SPECIFICATIONS",₹4.90 Lakh
5195,2019 Hyundai Venue SX 1.0 Turbo,18K km, · Petrol, · Manual,,"Mileage (ARAI)
18.27 kmpl
Ground clearance
195 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118.35 bhp
VIEW ALL SPECIFICATIONS",₹8.54 Lakh
5196,2016 Honda City V,49K km, · Petrol, · Manual,,"Mileage (ARAI)
17.8 kmpl
Ground clearance
165 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
117.3 bhp
VIEW ALL SPECIFICATIONS",₹6.98 Lakh
5197,2014 Hyundai i10 Sportz Petrol,65K km, · Petrol, · Manual,,"Mileage (ARAI)
20.36 kmpl
Ground clearance
165 mm
Boot space
225 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
68 bhp
VIEW ALL SPECIFICATIONS",₹3.38 Lakh
5198,2019 Maruti Suzuki Ciaz Delta Petrol,15K km, · Petrol, · Manual,,"Mileage (ARAI)
20.65 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
103.25 bhp
VIEW ALL SPECIFICATIONS",₹7.61 Lakh
5199,2017 Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,22K km, · Petrol, · Automatic,"Mileage (ARAI)
17.49 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
81 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",,₹5.19 Lakh
5200,2014 Honda City VX,42K km, · Petrol, · Manual,"Mileage (ARAI)
17.8 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
117.3 bhp
Max torque
145 nm
VIEW ALL SPECIFICATIONS",,₹5.20 Lakh
5201,2016 Skoda Octavia Elegance 1.8 TSI AT,47K km, · Petrol, · Automatic,"Mileage (ARAI)
14.7 kmpl
Ground clearance
155 mm
Boot space
590 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
177 bhp
VIEW ALL SPECIFICATIONS",,₹11.72 Lakh
5202,2016 Maruti Suzuki Baleno Alpha Petrol,33K km, · Petrol, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹5.85 Lakh
