manufacturer,brand,model (year),km driven (in thousands),mileage (in kmpl),seating capacity (units),fuel_type,transmission,ground clearance (in mm),boot space (in litres),fuel tank capacity (in litres),max power (in bhp),price (in lakh Rs.)
Honda,Honda Amaze 1.2 V i-VTEC Petrol+CNG (Outside Fitted),2019,47,18.6,5,Petrol+cng,Manual,165,420,35,88.76,6.62
Hyundai,Hyundai Creta 1.6 SX,2019,14,19.365,5,Diesel,Manual,170,400,55,126,11.25
Mahindra,Mahindra XUV 300 W8 Diesel,2019,42,20,5,Diesel,Manual,180,259,42,115,9.14
Skoda,Skoda Kushaq Style 1.0L TSI MT,2021,16,19.2,5,Petrol,Manual,188,385,50,114,13.42
Tata,Tata Nexon XZA Plus AMT Diesel,2021,47,21.5,5,Diesel,Automatic,209,350,44,108.5,10.77
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXI,2014,38,18.9,5,Petrol,Manual,165,180,35,67.1,3.07
Nissan,Nissan Terrano XL Petrol,2014,98,13.24,5,Petrol,Manual,205,475,50,102.5,5.43
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2018,95,21.01,5,Petrol,Manual,170,339,37,81.8,6.68
Volkswagen,Volkswagen Polo Highline1.2L (P),2015,82,16.2,5,Petrol,Manual,165,280,45,74,5.53
Honda,Honda WR-V VX i-VTEC,2019,19,16.5,5,Petrol,Manual,188,363,40,88.5,8.27
Hyundai,Hyundai Eon Magna,2016,39,22,5,Petrol,Manual,170,350,32,55,3.45
Maruti Suzuki,Maruti Suzuki Ertiga ZDi,2015,52,20.77,7,Diesel,Manual,185,350,45,89,8.77
Tata,Tata Tiago Revotron XT,2022,15,20,5,Petrol,Manual,170,242,35,85,6.65
Maruti Suzuki,Maruti Suzuki Swift ZXI Plus,2019,19,21.21,5,Petrol,Manual,163,268,37,81.8,7.37
Maruti Suzuki,Maruti Suzuki Swift ZXI,2015,53,18.6,5,Petrol,Manual,170,350,42,85.8,5.34
Hyundai,Hyundai Elite i20 Asta 1.2,2017,36,18.6,5,Petrol,Manual,170,285,45,82,7.15
Hyundai,Hyundai Venue SX Plus 1.0 Turbo DCT,2019,35,18.15,5,Petrol,Automatic,195,350,45,118.35,10.95
Hyundai,Hyundai i20 Era 1.2,2013,78,18.15,5,Petrol,Manual,170,295,45,80,3.87
Hyundai,Hyundai New i20 Asta (O) 1.0 Turbo DCT,2021,15,20.2,5,Petrol,Automatic,170,311,37,118,11.89
Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.3 Diesel,2017,43,28.09,5,Diesel,Manual,170,510,43,88.5,8.36
Hyundai,Hyundai Elite i20 Sportz 1.4 CRDI,2017,52,22.54,5,Diesel,Manual,170,285,45,89,6.9
Hyundai,Hyundai Aura SX Plus 1.2 AMT Petrol,2022,6,19.365,5,Petrol,Automatic,170,402,37,88.51,8.74
Hyundai,Hyundai Creta SX Petrol,2021,12,14,5,Petrol,Manual,190,350,43,113,14.94
Mahindra,Mahindra XUV 300 W8 AMT (O) Diesel,2020,50,20,5,Diesel,Automatic,180,350,42,115,13.2
Tata,Tata Nexon XZA Plus Dual Tone Roof AMT Petrol,2018,18,17,5,Petrol,Automatic,209,350,44,118,10.41
Volkswagen,Volkswagen Vento Comfortline Petrol,2014,75,15.04,5,Petrol,Manual,168,480,55,103,5.39
Hyundai,Hyundai Santro Xing GLS,2013,32,17.92,5,Petrol,Manual,170,350,35,62.1,3.41
Maruti Suzuki,Maruti Suzuki Baleno Delta AT Petrol,2017,33,19.56,5,Petrol,Automatic,170,339,37,81.8,7.18
Maruti Suzuki,Maruti Suzuki S-Presso VXI+,2019,24,21.01,5,Petrol,Manual,180,270,27,67,4.18
